ID;Numero;DataRegistro;Tecnico;Area;Equipamento;Descricao;Risco;Responsavel;Prazo;Status;Observacao;Inspecao;Foto
cbab73a5;NC-0093;02/07/2026;Fabiana Mello;Concentração (Planta 3 + GX600);Guincho da ponte rolante;Cabo de aço com fios desfiados no guincho;Crítica;Manutenção mecânica;08/07/2026;Aberta;;INS-0472;
342b23c4;NC-0092;25/06/2026;Juscelino Santos;Planta 4;Passarela superior;Guarda-corpo com corrosão avançada na passarela superior;Crítica;Manutenção;10/07/2026;Aberta;Serviço ainda não iniciado pela manutenção.;INS-0446;
fa4a06ef;NC-0091;22/06/2026;Tiago Santos;Britagem 1A;Correia TC-05;Rolete travado gerando atrito na correia;Médio;Manutenção mecânica;25/06/2026;Encerrada em 23/06/2026;Serviço executado e validado em campo.;INS-0440;
abaea9e8;NC-0090;20/06/2026;Josiane Lima;Britagem 1;Escada de acesso;Corrimão da escada com fixação solta;Médio;Civil;30/06/2026;Encerrada em 04/07/2026;Material solicitado ao almoxarifado. | Corrigido pela equipe responsável.;INS-0437;
19ea5de0;NC-0089;17/06/2026;Phelippe Cerqueira;Concentração (Planta 3 + GX600);Tanque de reagente;Bacia de contenção com trinca;Crítica;Civil;20/06/2026;Encerrada em 18/06/2026;Corrigido pela equipe responsável.;INS-0429;
a3d73e36;NC-0087;16/06/2026;Juscelino Santos;Centro Administrativo;Sala de reunião;Ar-condicionado pingando sobre tomada;Alto;Facilities;26/06/2026;Encerrada em 30/06/2026;Substituição realizada.;INS-0423;
ba650ab6;NC-0088;16/06/2026;Daniele Coutinho;Área de Lavra;Frota;Caminhão estacionado sem calço nas rodas;Médio;Operação;19/06/2026;Encerrada em 20/06/2026;Item normalizado, evidência em foto.;INS-0425;
c9bbe7f5;NC-0084;14/06/2026;Tiago Santos;Área de Lavra;Acesso à cava;Acesso sem leira de proteção na borda;Alto;Operação;19/06/2026;Encerrada em 17/06/2026;Serviço executado e validado em campo.;INS-0418;
2c7ab96d;NC-0085;14/06/2026;Flavia Tanner;Concentração (Planta 3 + GX600);Tambor magnético (TM);Proteção do tambor magnético removida;Alto;Manutenção mecânica;20/06/2026;Encerrada em 24/06/2026;Equipe mobilizada, em execução. | Substituição realizada.;INS-0419;
fa5fa0c8;NC-0086;14/06/2026;Tiago Santos;Área de Lavra;Frente de lavra;Banco da lavra com trinca visível;Crítica;Operação;22/06/2026;Encerrada em 20/06/2026;Item normalizado, evidência em foto.;INS-0418;
af820a13;NC-0083;12/06/2026;Alberto Inácio;Planta 4;Peneira PN-3;Parafusos frouxos na estrutura da peneira;Alto;Manutenção mecânica;22/06/2026;Encerrada em 20/06/2026;Reparo concluído dentro do padrão.;INS-0417;
2d256fb3;NC-0082;09/06/2026;Wagner Rocha;Oficina MPC;Oficina;Óleo no piso sem contenção;Médio;Operação;17/06/2026;Encerrada em 16/06/2026;Reparo concluído dentro do padrão.;INS-0410;
f084f136;NC-0080;07/06/2026;Tiago Santos;Banheiro/Vestiário Cedro Operacional;Vestiário operacional;Armários com portas danificadas;Baixo;Facilities;16/06/2026;Encerrada em 15/06/2026;Serviço executado e validado em campo.;INS-0404;
1837545f;NC-0081;07/06/2026;Alberto Inácio;Banheiro/Vestiário Cedro ADM;Banheiro ADM;Piso do banheiro com infiltração;Baixo;Facilities;14/06/2026;Encerrada em 19/06/2026;Aguardando peça de reposição. | Serviço executado e validado em campo.;INS-0406;
1c6aa8d0;NC-0079;06/06/2026;Daniele Coutinho;Britagem 1A;Escada;Guarda-corpo com corrosão na escada de acesso;Alto;Civil;10/06/2026;Encerrada em 08/06/2026;Serviço executado e validado em campo.;INS-0402;
1cccd35a;NC-0078;04/06/2026;Flavia Tanner;Britagem 1;Painel CCM;Cabo de alimentação com isolamento ressecado;Crítica;Elétrica;10/06/2026;Encerrada em 10/06/2026;Reparo concluído dentro do padrão.;INS-0399;
7ad54a88;NC-0077;02/06/2026;Daniele Coutinho;Filtragem;Escada FP;Escada de acesso com degrau corroído;Médio;Civil;10/06/2026;Encerrada em 08/06/2026;Substituição realizada.;INS-0397;
fe0e13ab;NC-0075;17/05/2026;Daniele Coutinho;Britagem 1;Extintor P-12;Extintor com lacre rompido;Médio;Segurança;25/05/2026;Encerrada em 24/05/2026;Equipe mobilizada, em execução. | Serviço executado e validado em campo.;INS-0352;
948923ae;NC-0076;17/05/2026;Anderson Magalhães;Planta 4;Plataforma;Falta de rodapé de proteção na plataforma;Alto;Manutenção;21/05/2026;Encerrada em 19/05/2026;Corrigido pela equipe responsável.;INS-0353;
ee791693;NC-0074;16/05/2026;Tiago Santos;Portaria;Guarita;Iluminação externa queimada;Médio;Elétrica;20/05/2026;Encerrada em 25/05/2026;Serviço programado com a equipe. | Serviço executado e validado em campo.;INS-0351;
257bc02d;NC-0072;13/05/2026;Wagner Rocha;Oficina MPC;Bancada;Esmerilhadeira sem proteção do disco;Alto;Segurança;21/05/2026;Encerrada em 22/05/2026;Serviço executado e validado em campo.;INS-0347;
24cc09f3;NC-0073;13/05/2026;Lucas Conrado;Área de Lavra;Praça de carregamento;Drenagem obstruída acumulando água na praça;Médio;Civil;19/05/2026;Encerrada em 23/05/2026;Serviço programado com a equipe. | Reparo concluído dentro do padrão.;INS-0348;
990e6b48;NC-0070;12/05/2026;Fabiana Mello;Filtragem;Bomba hidráulica;Poça de óleo sem contenção sob a bomba;Médio;Operação;21/05/2026;Encerrada em 19/05/2026;Reparo concluído dentro do padrão.;INS-0338;
e6d8453c;NC-0071;12/05/2026;Anderson Magalhães;Britagem 1A;Correia TC-05;Cabo elétrico exposto próximo à correia;Alto;Elétrica;20/05/2026;Encerrada em 22/05/2026;Material solicitado ao almoxarifado. | Serviço executado e validado em campo.;INS-0340;
384ea336;NC-0069;09/05/2026;Lucas Conrado;Britagem 1A;Painel PN-2B;Painel elétrico com porta emperrada;Médio;Elétrica;14/05/2026;Encerrada em 13/05/2026;Serviço programado com a equipe. | Serviço executado e validado em campo.;INS-0332;
f9a3bd15;NC-0068;08/05/2026;Alberto Inácio;Pátio Balança;Pátio;Falta de faixa de pedestre na travessia;Médio;Segurança;18/05/2026;Encerrada em 23/05/2026;Reparo concluído dentro do padrão.;INS-0330;
684772af;NC-0067;06/05/2026;Wagner Rocha;Britagem 1A;Plataforma;Piso com acúmulo de minério na plataforma;Médio;Operação;15/05/2026;Encerrada em 13/05/2026;Substituição realizada.;INS-0327;
e151baf8;NC-0066;04/05/2026;Anderson Magalhães;Concentração (Planta 3 + GX600);Sala de controle;Luminária de emergência inoperante;Médio;Elétrica;07/05/2026;Encerrada em 10/05/2026;Item normalizado, evidência em foto.;INS-0324;
44c7f442;NC-0065;03/05/2026;Alberto Inácio;Restaurante;Refeitório;Telha solta na cobertura;Médio;Civil;13/05/2026;Encerrada em 11/05/2026;Reparo concluído dentro do padrão.;INS-0321;
0428cd11;NC-0064;02/05/2026;Phelippe Cerqueira;Balança;Balança rodoviária;Balança sem selo de aferição visível;Médio;Manutenção;05/05/2026;Encerrada em 04/05/2026;Substituição realizada.;INS-0318;
ffcc7021;NC-0062;21/04/2026;Alberto Inácio;Restaurante;Refeitório;Piso quebrado na entrada do refeitório;Médio;Civil;27/04/2026;Encerrada em 27/04/2026;Item normalizado, evidência em foto.;INS-0281;
89e9d891;NC-0063;21/04/2026;Tiago Santos;Planta 4;Passarela;Guarda-corpo ausente em trecho da passarela;Crítica;Manutenção;30/04/2026;Encerrada em 01/05/2026;Reparo concluído dentro do padrão.;INS-0282;
ab949b3a;NC-0061;18/04/2026;Anderson Magalhães;Banheiro/Vestiário Cedro Contratadas;Banheiro contratadas;Porta sem trinco;Baixo;Facilities;25/04/2026;Encerrada em 29/04/2026;Aguardando peça de reposição. | Item normalizado, evidência em foto.;INS-0275;
6ace9c46;NC-0060;17/04/2026;Juscelino Santos;Britagem 1A;Galeria;Sinalização de rota de fuga apagada;Médio;Segurança;21/04/2026;Encerrada em 19/04/2026;Equipe mobilizada, em execução. | Item normalizado, evidência em foto.;INS-0274;
d7880bf5;NC-0058;14/04/2026;Anderson Magalhães;Britagem 1;Plataforma;Piso metálico solto na plataforma de inspeção;Alto;Manutenção mecânica;24/04/2026;Encerrada em 24/04/2026;Reparo concluído dentro do padrão.;INS-0265;
9365880f;NC-0059;14/04/2026;Daniele Coutinho;Banheiro/Vestiário Cedro Operacional;Vestiário operacional;Chuveiro sem água quente;Baixo;Facilities;20/04/2026;Encerrada em 25/04/2026;Equipe mobilizada, em execução. | Corrigido pela equipe responsável.;INS-0267;
8196bc80;NC-0055;13/04/2026;Alberto Inácio;Centro Administrativo;Corredor;Rota de fuga obstruída por arquivos;Médio;Segurança;21/04/2026;Encerrada em 26/04/2026;Equipe mobilizada, em execução. | Reparo concluído dentro do padrão.;INS-0261;
7b198cb0;NC-0056;13/04/2026;Josiane Lima;Filtragem;Painel FP;Botão de parada de emergência sem identificação;Alto;Segurança;18/04/2026;Encerrada em 16/04/2026;Corrigido pela equipe responsável.;INS-0262;
3dafdd74;NC-0057;13/04/2026;Tiago Santos;Britagem 1A;Motor M-201;Proteção do acoplamento do motor solta;Crítica;Manutenção mecânica;22/04/2026;Encerrada em 22/04/2026;Material solicitado ao almoxarifado. | Serviço executado e validado em campo.;INS-0264;
0db4ae73;NC-0053;11/04/2026;Tiago Santos;Concentração (Planta 3 + GX600);Linha de ar;Válvula de segurança sem etiqueta de calibração;Alto;Manutenção;21/04/2026;Encerrada em 20/04/2026;Serviço executado e validado em campo.;INS-0257;
47f20ec9;NC-0054;11/04/2026;Daniele Coutinho;PEC;Vias internas;Sinalização de tráfego de máquinas apagada;Médio;Segurança;17/04/2026;Encerrada em 15/04/2026;Serviço executado e validado em campo.;INS-0258;
8cfc1fa9;NC-0052;06/04/2026;Josiane Lima;Concentração (Planta 3 + GX600);Células de flotação;Piso escorregadio por transbordo de célula;Médio;Operação;10/04/2026;Encerrada em 09/04/2026;Item normalizado, evidência em foto.;INS-0245;
b155c896;NC-0050;05/04/2026;Daniele Coutinho;Planta 4;Portão 3;Placa de advertência caída no portão;Baixo;Segurança;12/04/2026;Encerrada em 12/04/2026;Corrigido pela equipe responsável.;INS-0238;
fe55852c;NC-0051;05/04/2026;Daniele Coutinho;Portaria;Cancela;Cancela sem sinalização refletiva;Médio;Segurança;09/04/2026;Encerrada em 07/04/2026;Material solicitado ao almoxarifado. | Item normalizado, evidência em foto.;INS-0239;
1a62fef5;NC-0049;04/04/2026;Lucas Conrado;Banheiro/Vestiário Cedro ADM;Vestiário ADM;Luminária queimada no vestiário;Baixo;Elétrica;10/04/2026;Encerrada em 15/04/2026;Substituição realizada.;INS-0236;
4395508d;NC-0048;03/04/2026;Wagner Rocha;Área de Lavra;Vias da mina;Placa de velocidade máxima caída;Baixo;Segurança;09/04/2026;Encerrada em 10/04/2026;Aguardando peça de reposição. | Reparo concluído dentro do padrão.;INS-0233;
a6a9f42f;NC-0047;02/04/2026;Phelippe Cerqueira;Área de Lavra;Frota;Caminhão estacionado sem calço nas rodas;Médio;Operação;08/04/2026;Encerrada em 07/04/2026;Equipe mobilizada, em execução. | Reparo concluído dentro do padrão.;INS-0232;
db0e74f1;NC-0046;23/03/2026;Josiane Lima;Centro Administrativo;Sala de reunião;Ar-condicionado pingando sobre tomada;Alto;Facilities;27/03/2026;Encerrada em 25/03/2026;Reparo concluído dentro do padrão.;INS-0195;
1ff7111f;NC-0045;22/03/2026;Anderson Magalhães;Britagem 1A;Lava-olhos;Chuveiro lava-olhos obstruído;Alto;Facilities;26/03/2026;Encerrada em 24/03/2026;Material solicitado ao almoxarifado. | Corrigido pela equipe responsável.;INS-0192;
91f6a703;NC-0044;21/03/2026;Josiane Lima;Área de Lavra;Frente de lavra;Banco da lavra com trinca visível;Crítica;Operação;28/03/2026;Encerrada em 26/03/2026;Serviço executado e validado em campo.;INS-0191;
e9f0adc7;NC-0042;20/03/2026;Josiane Lima;Britagem 1;Painel local;Botoeira de emergência sem sinalização;Alto;Segurança;26/03/2026;Encerrada em 31/03/2026;Material solicitado ao almoxarifado. | Substituição realizada.;INS-0187;
e97fe9ee;NC-0043;20/03/2026;Wagner Rocha;Banheiro/Vestiário Cedro Contratadas;Banheiro contratadas;Vaso sanitário quebrado;Baixo;Facilities;26/03/2026;Encerrada em 25/03/2026;Corrigido pela equipe responsável.;INS-0188;
47959196;NC-0040;19/03/2026;Wagner Rocha;Filtragem;Esteira de torta;Proteção da esteira de descarga removida;Crítica;Manutenção mecânica;24/03/2026;Encerrada em 29/03/2026;Item normalizado, evidência em foto.;INS-0184;
7daa3ed2;NC-0041;19/03/2026;Daniele Coutinho;Britagem 1A;Correia TC-05;Rolete travado gerando atrito na correia;Médio;Manutenção mecânica;29/03/2026;Encerrada em 22/07/2026;Corrigido pela equipe responsável. | Tratativa via Forms;INS-0185;
5c037b67;NC-0039;17/03/2026;Josiane Lima;Britagem 1;Correia TC-02;Sensor de emergência da correia sem teste registrado;Alto;Elétrica;24/03/2026;Encerrada em 22/03/2026;Serviço executado e validado em campo.;INS-0181;
e6335a19;NC-0038;15/03/2026;Juscelino Santos;Concentração (Planta 3 + GX600);Bomba de polpa 03;Vazamento de polpa na junta da bomba;Médio;Manutenção;22/03/2026;Encerrada em 27/03/2026;Reparo concluído dentro do padrão.;INS-0178;
5562d904;NC-0037;14/03/2026;Lucas Conrado;Oficina AJPM;Área de solda;Cilindros de gás sem corrente de fixação;Alto;Segurança;20/03/2026;Encerrada em 19/03/2026;Corrigido pela equipe responsável.;INS-0175;
a7ebe36c;NC-0036;13/03/2026;Daniele Coutinho;Britagem 1;Túnel de retomada;Iluminação queimada no túnel de retomada;Médio;Elétrica;19/03/2026;Encerrada em 18/03/2026;Corrigido pela equipe responsável.;INS-0172;
bccdb9ce;NC-0034;10/03/2026;Daniele Coutinho;Filtragem;Filtro FP-2;Placa do filtro trincada;Médio;Manutenção mecânica;14/03/2026;Encerrada em 14/03/2026;Item normalizado, evidência em foto.;INS-0168;
7b05789a;NC-0035;10/03/2026;Lucas Conrado;Concentração (Planta 3 + GX600);Tanque TQ-2;Agitador com ruído anormal;Alto;Manutenção mecânica;13/03/2026;Encerrada em 12/03/2026;Item normalizado, evidência em foto.;INS-0169;
09f9f904;NC-0033;08/03/2026;Flavia Tanner;Planta 4;Transportador TR-31;Vibração anormal no mancal do transportador;Alto;Manutenção mecânica;16/03/2026;Encerrada em 16/03/2026;Item normalizado, evidência em foto.;INS-0167;
dd8ac1f3;NC-0032;06/03/2026;Daniele Coutinho;Área de Lavra;Acesso à cava;Acesso sem leira de proteção na borda;Alto;Operação;10/03/2026;Encerrada em 10/03/2026;Corrigido pela equipe responsável.;INS-0163;
8349145c;NC-0031;20/02/2026;Juscelino Santos;Centro Administrativo;Corredor;Rota de fuga obstruída por arquivos;Médio;Segurança;26/02/2026;Encerrada em 25/02/2026;Serviço programado com a equipe. | Serviço executado e validado em campo.;INS-0130;
ee5dbe29;NC-0030;16/02/2026;Alberto Inácio;Filtragem;Filtro FP-1;Mangueira hidráulica desgastada;Alto;Manutenção;19/02/2026;Encerrada em 18/02/2026;Substituição realizada.;INS-0118;
3798a56d;NC-0029;14/02/2026;Daniele Coutinho;Área de Lavra;Vias da mina;Placa de velocidade máxima caída;Baixo;Segurança;22/02/2026;Encerrada em 22/02/2026;Serviço executado e validado em campo.;INS-0112;
bbf4fa89;NC-0027;12/02/2026;Lucas Conrado;Oficina MPC;Oficina;Óleo no piso sem contenção;Médio;Operação;22/02/2026;Encerrada em 22/02/2026;Reparo concluído dentro do padrão.;INS-0108;
d6e61d2e;NC-0028;12/02/2026;Alberto Inácio;Área de Lavra;Frota;Caminhão estacionado sem calço nas rodas;Médio;Operação;15/02/2026;Encerrada em 15/02/2026;Item normalizado, evidência em foto.;INS-0110;
61c35f35;NC-0026;10/02/2026;Alberto Inácio;Concentração (Planta 3 + GX600);Ponte Rolante;Operador sem checklist diário da ponte rolante;Médio;Operação;15/02/2026;Encerrada em 14/02/2026;Item normalizado, evidência em foto.;INS-0104;
99945c65;NC-0025;07/02/2026;Anderson Magalhães;Restaurante;Extintor R-02;Extintor com carga vencida no refeitório;Alto;Segurança;10/02/2026;Encerrada em 12/02/2026;Aguardando peça de reposição. | Corrigido pela equipe responsável.;INS-0097;
dd11a49f;NC-0024;05/02/2026;Anderson Magalhães;Britagem 1;Escada de acesso;Degrau da escada fixa deformado;Médio;Manutenção;09/02/2026;Encerrada em 08/02/2026;Reparo concluído dentro do padrão.;INS-0092;
c9953096;NC-0022;03/02/2026;Lucas Conrado;Planta 4;Acesso principal;Iluminação insuficiente no acesso noturno;Médio;Elétrica;07/02/2026;Encerrada em 06/02/2026;Reparo concluído dentro do padrão.;INS-0088;
9a856fb9;NC-0023;03/02/2026;Tiago Santos;Britagem 1A;Correia TC-05;Cabo elétrico exposto próximo à correia;Alto;Elétrica;11/02/2026;Encerrada em 10/02/2026;Serviço executado e validado em campo.;INS-0089;
87effe8e;NC-0021;02/02/2026;Phelippe Cerqueira;Planta 4;Peneira PN-3;Parafusos frouxos na estrutura da peneira;Alto;Manutenção mecânica;12/02/2026;Encerrada em 11/02/2026;Serviço programado com a equipe. | Serviço executado e validado em campo.;INS-0085;
1d07e014;NC-0017;01/02/2026;Alisson Castro;Concentração (Planta 3 + GX600);Tambor magnético (TM);"abertura de piso no piso dos TM tambor magnético sem proteção, obs: situação se encontrava em risco também nos turnos anteriores (ON SAFETY · NR 31.12.21 ""b"")";Alto;;;Encerrada em 01/02/2026;Realizado o fechamento do no piso, evitando quedas de pessoas. (evidência ON SAFETY);INS-0079;
af24a22c;NC-0018;01/02/2026;Alberto Inácio;Filtragem;Bomba de polpa 02;Vazamento de polpa na gaxeta da bomba;Médio;Manutenção;09/02/2026;Encerrada em 08/02/2026;Equipe mobilizada, em execução. | Item normalizado, evidência em foto.;INS-0080;
70eabc07;NC-0019;01/02/2026;Phelippe Cerqueira;Britagem 1A;Escada;Guarda-corpo com corrosão na escada de acesso;Alto;Civil;06/02/2026;Encerrada em 05/02/2026;Reparo concluído dentro do padrão.;INS-0081;
9edbb96d;NC-0020;01/02/2026;Daniele Coutinho;Área de Lavra;Praça de carregamento;Drenagem obstruída acumulando água na praça;Médio;Civil;08/02/2026;Encerrada em 07/02/2026;Equipe mobilizada, em execução. | Reparo concluído dentro do padrão.;INS-0083;
eb9606e3;NC-0014;22/01/2026;Josiane Lima;Britagem 1;Correia TC-01;Guarda de proteção lateral da correia danificada;Alto;Manutenção mecânica;25/01/2026;Encerrada em 26/01/2026;Item normalizado, evidência em foto.;INS-0029;
e85c2646;NC-0015;22/01/2026;Flavia Tanner;Planta 4;Plataforma;Falta de rodapé de proteção na plataforma;Alto;Manutenção;29/01/2026;Encerrada em 02/02/2026;Corrigido pela equipe responsável.;INS-0031;
4af554ef;NC-0016;22/01/2026;Phelippe Cerqueira;Área de Lavra;Acesso à cava;Acesso sem leira de proteção na borda;Alto;Operação;26/01/2026;Encerrada em 26/01/2026;Substituição realizada.;INS-0032;
f35c869e;NC-0010;21/01/2026;Tiago Santos;Filtragem;Unidade hidráulica;Vazamento de óleo hidráulico na unidade;Alto;Manutenção;26/01/2026;Encerrada em 29/01/2026;Aguardando peça de reposição. | Corrigido pela equipe responsável.;INS-0023;
3e3046ce;NC-0011;21/01/2026;Juscelino Santos;Planta 4;Passarela;Guarda-corpo ausente em trecho da passarela;Crítica;Manutenção;25/01/2026;Encerrada em 24/01/2026;Material solicitado ao almoxarifado. | Substituição realizada.;INS-0024;
be31930b;NC-0012;21/01/2026;Juscelino Santos;PEC;Pátio de estocagem;Pilha de material com talude instável;Alto;Operação;30/01/2026;Encerrada em 29/01/2026;Item normalizado, evidência em foto.;INS-0025;
672989c1;NC-0013;21/01/2026;Flavia Tanner;Área de Lavra;Frente de lavra;Banco da lavra com trinca visível;Crítica;Operação;30/01/2026;Encerrada em 30/01/2026;Corrigido pela equipe responsável.;INS-0028;
c0e57714;NC-0005;19/01/2026;Daniele Coutinho;Centro Administrativo;Sala de reunião;Ar-condicionado pingando sobre tomada;Alto;Facilities;28/01/2026;Encerrada em 30/01/2026;Corrigido pela equipe responsável.;INS-0012;
fad72111;NC-0006;19/01/2026;Anderson Magalhães;Britagem 1;Britador primário;Poeira excessiva sem aspersão no britador primário;Médio;Operação;28/01/2026;Encerrada em 30/01/2026;Aguardando peça de reposição. | Substituição realizada.;INS-0013;
acd3ffef;NC-0007;19/01/2026;Daniele Coutinho;Oficina MPC;Bancada;Esmerilhadeira sem proteção do disco;Alto;Segurança;24/01/2026;Encerrada em 22/01/2026;Substituição realizada.;INS-0014;
d1afd4dd;NC-0008;19/01/2026;Alberto Inácio;Banheiro/Vestiário Cedro ADM;Banheiro ADM;Piso do banheiro com infiltração;Baixo;Facilities;23/01/2026;Encerrada em 21/01/2026;Serviço programado com a equipe. | Corrigido pela equipe responsável.;INS-0015;
7585d7dc;NC-0009;19/01/2026;Fabiana Mello;Concentração (Planta 3 + GX600);Painel PN-C4;Painel elétrico aberto sem bloqueio;Crítica;Elétrica;23/01/2026;Encerrada em 23/01/2026;Reparo concluído dentro do padrão.;INS-0016;
3f6eceaa;NC-0002;18/01/2026;Phelippe Cerqueira;Pátio Balança;Pátio;Acúmulo de material obstruindo a via;Médio;Operação;23/01/2026;Encerrada em 23/01/2026;Item normalizado, evidência em foto.;INS-0007;
0a58f6cd;NC-0003;18/01/2026;Juscelino Santos;Concentração (Planta 3 + GX600);Escada de acesso;Corrimão solto na escada de acesso;Médio;Civil;27/01/2026;Encerrada em 25/01/2026;Serviço executado e validado em campo.;INS-0008;
edf96f18;NC-0004;18/01/2026;Phelippe Cerqueira;Oficina AJPM;Oficina;Extintor obstruído por materiais;Alto;Segurança;26/01/2026;Encerrada em 24/01/2026;Item normalizado, evidência em foto.;INS-0011;
3d20710c;NC-0001;16/01/2026;Alberto Inácio;Britagem 1A;Plataforma;Piso com acúmulo de minério na plataforma;Médio;Operação;24/01/2026;Encerrada em 27/01/2026;Serviço executado e validado em campo.;INS-0001;
